symbol	reference_value	candidate_value	status
CONFIG_MSM_QBT_HANDLER	m	n	missing
CONFIG_MSM_QMP	m	n	missing
CONFIG_MSM_RDBG	m	n	missing
CONFIG_MSM_SPCOM	m	n	missing
CONFIG_MSM_SPSS_UTILS	m	n	missing
CONFIG_MSM_SYSSTATS	m	n	missing
CONFIG_MSM_TMECOM_QMP	m	n	missing
CONFIG_MSM_VIDEOCC_WAIPIO	m	n	missing
CONFIG_NFC_QTI_I2C	m	n	missing
CONFIG_NL80211_TESTMODE	y	n	missing
CONFIG_NOP_USB_XCEIV	m	n	missing
CONFIG_NOVATEK_TRUSTED_TOUCH	y	n	missing
CONFIG_NVMEM_SPMI_SDAM	m	n	missing
CONFIG_PCI_MSM	m	n	missing
CONFIG_PHY_QCOM_UFS	m	n	missing
CONFIG_PHY_QCOM_UFS_V4	m	n	missing
CONFIG_PINCTRL_CAPE	m	n	missing
CONFIG_PINCTRL_DIWALI	m	n	missing
CONFIG_PINCTRL_QCOM_SPMI_PMIC	m	n	missing
CONFIG_PINCTRL_WAIPIO	m	n	missing
CONFIG_POWER_RESET_QCOM_DOWNLOAD_MODE	m	n	missing
CONFIG_POWER_RESET_QCOM_DOWNLOAD_MODE_DEFAULT	y	n	missing
CONFIG_POWER_RESET_QCOM_PON	m	n	missing
CONFIG_POWER_RESET_QCOM_REBOOT_REASON	m	n	missing
CONFIG_PWM_QTI_LPG	m	n	missing
CONFIG_QCOM_ADSP_SLEEPMON	m	n	missing
CONFIG_QCOM_AOSS_QMP	m	n	missing
CONFIG_QCOM_BALANCE_ANON_FILE_RECLAIM	y	n	missing
CONFIG_QCOM_BAM_DMA	m	n	missing
CONFIG_QCOM_BWMON	m	n	missing
CONFIG_QCOM_CDSP_RM	m	n	missing
CONFIG_QCOM_CLK_RPMH	m	n	missing
CONFIG_QCOM_COMMAND_DB	m	y	enabled
CONFIG_QCOM_CPUSS_SLEEP_STATS	m	n	missing
CONFIG_QCOM_CPU_VENDOR_HOOKS	m	n	missing
CONFIG_QCOM_DCC_V2	m	n	missing
CONFIG_QCOM_DCVS	m	n	missing
CONFIG_QCOM_DCVS_FP	m	n	missing
CONFIG_QCOM_DMABUF_HEAPS	m	n	missing
CONFIG_QCOM_DMABUF_HEAPS_BITSTREAM_CONTIG	y	n	missing
