category	source	location	message
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	142.19-146.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350b_chg_temp: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	148.17-152.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350b_iin_fb: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	154.18-158.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350b_ichg_fb: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	160.21-165.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350b_ichg_fb_2x: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	167.23-172.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350b_ichg_fb_2p5x: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	174.26-178.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350b_usb_in_v_div_16: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	180.21-184.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/smb139x_1_smb_temp: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	186.21-190.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/smb139x_1_ichg_smb: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	192.20-196.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/smb139x_1_iin_smb: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	198.21-202.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/smb139x_2_smb_temp: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	204.21-208.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/smb139x_2_ichg_smb: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	210.20-214.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/smb139x_2_iin_smb: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	292.19-298.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350_msm_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	300.25-306.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350_cam_flash_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	308.26-314.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350_hot_pocket_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	316.24-322.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350_wide_rfc_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	324.25-330.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350b_rear_tof_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	332.25-338.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350b_usb_conn_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	340.23-346.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350b_wl_chg_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	348.19-354.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pmk8350_xo_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	367.19-371.4	/fragment@1/__overlay__/qcom,pmk8350@0/adc_tm@3400/pm8350_msm_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	373.25-377.4	/fragment@1/__overlay__/qcom,pmk8350@0/adc_tm@3400/pm8350_cam_flash_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	379.26-383.4	/fragment@1/__overlay__/qcom,pmk8350@0/adc_tm@3400/pm8350_hot_pocket_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	385.24-389.4	/fragment@1/__overlay__/qcom,pmk8350@0/adc_tm@3400/pm8350_wide_rfc_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	391.25-395.4	/fragment@1/__overlay__/qcom,pmk8350@0/adc_tm@3400/pm8350b_rear_tof_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	397.25-401.4	/fragment@1/__overlay__/qcom,pmk8350@0/adc_tm@3400/pm8350b_usb_conn_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	403.23-407.4	/fragment@1/__overlay__/qcom,pmk8350@0/adc_tm@3400/pm8350b_wl_chg_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	409.19-413.4	/fragment@1/__overlay__/qcom,pmk8350@0/adc_tm@3400/pmk8350_xo_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/pm8350c.dtsi	45.10-52.6	/fragment@4/__overlay__/qcom,pm8350c@2/pwms@e800/lpg@1: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/pm8350c.dtsi	54.10-61.6	/fragment@4/__overlay__/qcom,pm8350c@2/pwms@e800/lpg@2: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/pm8350c.dtsi	63.10-70.6	/fragment@4/__overlay__/qcom,pm8350c@2/pwms@e800/lpg@3: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/xiaomi-sm8475-common.dtsi	173.15-175.4	/fragment@25/__overlay__/dwc3@a600000: node has a unit name, but no reg or ranges property
unit_address_format	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/xiaomi-sm8475-common.dtsi	24.26-29.4	/fragment@16/__overlay__/mtdoops_pmsg@0xa7000000: unit name should not have leading "0x"
pci_device_reg	arch/arm64/boot/dts/qcom/marble-sm7475-pm8008-overlay.dtbo		Failed prerequisite 'reg_format'
pci_device_bus_num	arch/arm64/boot/dts/qcom/marble-sm7475-pm8008-overlay.dtbo		Failed prerequisite 'reg_format'
simple_bus_reg	arch/arm64/boot/dts/qcom/marble-sm7475-pm8008-overlay.dtbo		Failed prerequisite 'reg_format'
i2c_bus_reg	arch/arm64/boot/dts/qcom/marble-sm7475-pm8008-overlay.dtbo		Failed prerequisite 'reg_format'
spi_bus_reg	arch/arm64/boot/dts/qcom/marble-sm7475-pm8008-overlay.dtbo		Failed prerequisite 'reg_format'
avoid_default_addr_size	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/xiaomi-sm8475-common.dtsi	24.26-29.4	/fragment@16/__overlay__/mtdoops_pmsg@0xa7000000: Relying on default #address-cells value
avoid_default_addr_size	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/xiaomi-sm8475-common.dtsi	24.26-29.4	/fragment@16/__overlay__/mtdoops_pmsg@0xa7000000: Relying on default #size-cells value
avoid_default_addr_size	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/xiaomi-sm8475-common.dtsi	40.11-45.4	/fragment@17/__overlay__/ir-spi@0: Relying on default #address-cells value
avoid_default_addr_size	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/xiaomi-sm8475-common.dtsi	40.11-45.4	/fragment@17/__overlay__/ir-spi@0: Relying on default #size-cells value
avoid_default_addr_size	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/xiaomi-sm8475-common.dtsi	194.18-205.3	/fragment@27/__overlay__: Relying on default #address-cells value
avoid_default_addr_size	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/xiaomi-sm8475-common.dtsi	194.18-205.3	/fragment@27/__overlay__: Relying on default #size-cells value
avoid_default_addr_size	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	16.21-30.4	/fragment@31/__overlay__/aw882xx_smartpa@34: Relying on default #address-cells value
avoid_default_addr_size	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	16.21-30.4	/fragment@31/__overlay__/aw882xx_smartpa@34: Relying on default #size-cells value
avoid_default_addr_size	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	32.21-45.4	/fragment@31/__overlay__/aw882xx_smartpa@35: Relying on default #address-cells value
avoid_default_addr_size	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	32.21-45.4	/fragment@31/__overlay__/aw882xx_smartpa@35: Relying on default #size-cells value
avoid_default_addr_size	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	259.15-285.4	/fragment@38/__overlay__/m16t-touch@0: Relying on default #address-cells value
avoid_default_addr_size	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	259.15-285.4	/fragment@38/__overlay__/m16t-touch@0: Relying on default #size-cells value
avoid_unnecessary_addr_size	arch/arm64/boot/dts/qcom/marble-sm7475-pm8008-overlay.dtbo		Failed prerequisite 'avoid_default_addr_size'
unique_unit_address	arch/arm64/boot/dts/qcom/marble-sm7475-pm8008-overlay.dtbo		Failed prerequisite 'avoid_default_addr_size'
reg_format	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape.dtsi	587.4-31	/soc/interrupt-controller@17100000/msi-controller@17140000:reg: property has invalid length (8 bytes) (#address-cells == 2, #size-cells == 1)
reg_format	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape.dtsi	1747.4-1748.26	/soc/remoteproc-spss@1880000/glink-edge:reg: property has invalid length (16 bytes) (#address-cells == 2, #size-cells == 1)
ranges_format	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape.dtsi	576.3-10	/soc/interrupt-controller@17100000:ranges: empty "ranges" property but its #address-cells (2) differs from /soc (1)
ranges_format	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape.dtsi	1711.3-10	/soc/remoteproc-spss@1880000:ranges: empty "ranges" property but its #address-cells (2) differs from /soc (1)
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape.dtsi	25.9-54	/memory: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-reserved-memory.dtsi	163.47-166.4	/reserved-memory/trust_ui_vm_region@e0b00000: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape.dtsi	299.11-15	/soc: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/waipio-clock.dtsi	116.36-138.4	/soc/clock-controller@0: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/waipio-clock.dtsi	140.30-166.4	/soc/qcom,cpufreq-hw: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape.dtsi	536.29-539.6	/soc/slim@3340000/ngd@1/btfmslim-driver: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape.dtsi	734.23-746.5	/soc/qcom,dcvs/l3: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape.dtsi	1038.24-1042.4	/soc/qcom,virtio_backend@0: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape.dtsi	1122.33-1136.4	/soc/qseecom@c1700000: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape.dtsi	1737.14-1754.5	/soc/remoteproc-spss@1880000/glink-edge: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape.dtsi	2042.27-2047.4	/soc/interconnect@0: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape.dtsi	2049.26-2054.4	/soc/interconnect@1: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape.dtsi	2737.33-2743.4	/soc/qcom,gh_vm_loader_sec@e0b00000: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape.dtsi	2745.33-2752.4	/soc/qcom,gh_vm_loader_sec@e0600000: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape.dtsi	2760.31-2769.4	/soc/qcom,guestvm_loader@e0b00000: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape.dtsi	2771.31-2777.4	/soc/qcom,guestvm_loader@e0600000: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/waipio-coresight.dtsi	1188.30-1222.4	/soc/funnel@10b24000: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/waipio-coresight.dtsi	1224.36-1267.4	/soc/funnel@10b44000: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/waipio-coresight.dtsi	3196.11-3201.6	/soc/replicator@10b06000/out-ports/port@0: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/waipio-coresight.dtsi	3237.11-3242.6	/soc/replicator@10046000/out-ports/port@0: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/msm-arm-smmu-waipio.dtsi	360.14-363.4	/soc/dma_dev@0x0: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-pcie.dtsi	229.22-231.5	/soc/qcom,pcie@1c00000/pcie0_rp: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape.dtsi	3182.21-3198.4	/soc/qcom,pcie@1c00000/pcie0_rp/cnss_pci: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-pcie.dtsi	522.22-524.5	/soc/qcom,pcie@1c08000/pcie1_rp: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/ukee.dtsi	297.23-299.4	/soc/qfprom@0: node has a unit name, but no reg or ranges property
pci_device_reg	arch/arm64/boot/dts/qcom/ukee.dtb		Failed prerequisite 'reg_format'
pci_device_bus_num	arch/arm64/boot/dts/qcom/ukee.dtb		Failed prerequisite 'reg_format'
simple_bus_reg	arch/arm64/boot/dts/qcom/ukee.dtb		Failed prerequisite 'reg_format'
i2c_bus_reg	arch/arm64/boot/dts/qcom/ukee.dtb		Failed prerequisite 'reg_format'
spi_bus_reg	arch/arm64/boot/dts/qcom/ukee.dtb		Failed prerequisite 'reg_format'
avoid_default_addr_size	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape.dtsi	583.36-588.5	/soc/interrupt-controller@17100000/msi-controller@17140000: Relying on default #address-cells value
avoid_default_addr_size	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape.dtsi	583.36-588.5	/soc/interrupt-controller@17100000/msi-controller@17140000: Relying on default #size-cells value
avoid_default_addr_size	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape.dtsi	1737.14-1754.5	/soc/remoteproc-spss@1880000/glink-edge: Relying on default #address-cells value
avoid_default_addr_size	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape.dtsi	1737.14-1754.5	/soc/remoteproc-spss@1880000/glink-edge: Relying on default #size-cells value
avoid_unnecessary_addr_size	arch/arm64/boot/dts/qcom/ukee.dtb		Failed prerequisite 'avoid_default_addr_size'
unique_unit_address	arch/arm64/boot/dts/qcom/ukee.dtb		Failed prerequisite 'avoid_default_addr_size'
interrupt_map	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-pcie.dtsi	30.3-34.28	/soc/qcom,pcie@1c00000:interrupt-map: Missing property '#address-cells' in node /soc/interrupt-controller@17100000, using 0 as fallback
interrupt_map	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-pcie.dtsi	30.3-34.28	/soc/qcom,pcie@1c00000:interrupt-map: Missing property '#address-cells' in node /soc/interrupt-controller@17100000, using 0 as fallback
interrupt_map	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-pcie.dtsi	30.3-34.28	/soc/qcom,pcie@1c00000:interrupt-map: Missing property '#address-cells' in node /soc/interrupt-controller@17100000, using 0 as fallback
