category	source	location	message
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	174.26-178.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350b_usb_in_v_div_16: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	180.21-184.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/smb139x_1_smb_temp: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	186.21-190.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/smb139x_1_ichg_smb: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	192.20-196.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/smb139x_1_iin_smb: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	198.21-202.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/smb139x_2_smb_temp: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	204.21-208.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/smb139x_2_ichg_smb: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	210.20-214.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/smb139x_2_iin_smb: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	298.19-304.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350_msm_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	306.25-312.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350_cam_flash_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	314.26-320.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350_hot_pocket_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	322.24-328.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350_wide_rfc_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	330.25-336.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350b_rear_tof_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	338.25-344.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350b_usb_conn_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	346.23-352.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350b_wl_chg_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	354.19-360.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pmk8350_xo_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	373.19-377.4	/fragment@1/__overlay__/qcom,pmk8350@0/adc_tm@3400/pm8350_msm_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	379.25-383.4	/fragment@1/__overlay__/qcom,pmk8350@0/adc_tm@3400/pm8350_cam_flash_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	385.26-389.4	/fragment@1/__overlay__/qcom,pmk8350@0/adc_tm@3400/pm8350_hot_pocket_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	391.24-395.4	/fragment@1/__overlay__/qcom,pmk8350@0/adc_tm@3400/pm8350_wide_rfc_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	397.25-401.4	/fragment@1/__overlay__/qcom,pmk8350@0/adc_tm@3400/pm8350b_rear_tof_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	403.25-407.4	/fragment@1/__overlay__/qcom,pmk8350@0/adc_tm@3400/pm8350b_usb_conn_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	409.23-413.4	/fragment@1/__overlay__/qcom,pmk8350@0/adc_tm@3400/pm8350b_wl_chg_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	415.19-419.4	/fragment@1/__overlay__/qcom,pmk8350@0/adc_tm@3400/pmk8350_xo_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/pm8350c.dtsi	45.10-52.6	/fragment@4/__overlay__/qcom,pm8350c@2/pwms@e800/lpg@1: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/pm8350c.dtsi	54.10-61.6	/fragment@4/__overlay__/qcom,pm8350c@2/pwms@e800/lpg@2: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/pm8350c.dtsi	63.10-70.6	/fragment@4/__overlay__/qcom,pm8350c@2/pwms@e800/lpg@3: node has a unit name, but no reg or ranges property
avoid_unnecessary_addr_size	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/waipio-pm8008.dtsi	45.12-126.4	/fragment@43/__overlay__/pm8008i@9: unnecessary #address-cells/#size-cells without "ranges", "dma-ranges" or child "reg" or "ranges" property
avoid_unnecessary_addr_size	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/waipio-pm8008.dtsi	152.12-233.4	/fragment@43/__overlay__/pm8008j@d: unnecessary #address-cells/#size-cells without "ranges", "dma-ranges" or child "reg" or "ranges" property
reg_format	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/cape.dtsi	1751.4-1752.26	/soc/remoteproc-spss@1880000/glink-edge:reg: property has invalid length (16 bytes) (#address-cells == 2, #size-cells == 1)
ranges_format	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/cape.dtsi	1715.3-10	/soc/remoteproc-spss@1880000:ranges: empty "ranges" property but its #address-cells (2) differs from /soc (1)
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/cape.dtsi	25.9-54	/memory: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/cape-reserved-memory.dtsi	163.47-166.4	/reserved-memory/trust_ui_vm_region@e0b00000: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/cape.dtsi	299.11-15	/soc: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/waipio-clock.dtsi	116.36-138.4	/soc/clock-controller@0: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/waipio-clock.dtsi	140.30-166.4	/soc/qcom,cpufreq-hw: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/cape.dtsi	536.29-539.6	/soc/slim@3340000/ngd@1/btfmslim-driver: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/cape.dtsi	738.23-750.5	/soc/qcom,dcvs/l3: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/cape.dtsi	1042.24-1046.4	/soc/qcom,virtio_backend@0: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/cape.dtsi	1126.33-1140.4	/soc/qseecom@c1700000: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/cape.dtsi	1741.14-1758.5	/soc/remoteproc-spss@1880000/glink-edge: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/cape.dtsi	2046.27-2051.4	/soc/interconnect@0: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/cape.dtsi	2053.26-2058.4	/soc/interconnect@1: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/cape.dtsi	2741.33-2747.4	/soc/qcom,gh_vm_loader_sec@e0b00000: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/cape.dtsi	2749.33-2756.4	/soc/qcom,gh_vm_loader_sec@e0600000: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/cape.dtsi	2764.31-2773.4	/soc/qcom,guestvm_loader@e0b00000: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/cape.dtsi	2775.31-2781.4	/soc/qcom,guestvm_loader@e0600000: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/waipio-coresight.dtsi	1184.30-1218.4	/soc/funnel@10b24000: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/waipio-coresight.dtsi	1220.36-1263.4	/soc/funnel@10b44000: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/waipio-coresight.dtsi	3184.11-3189.6	/soc/replicator@10b06000/out-ports/port@0: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/waipio-coresight.dtsi	3225.11-3230.6	/soc/replicator@10046000/out-ports/port@0: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/msm-arm-smmu-waipio.dtsi	360.14-363.4	/soc/dma_dev@0x0: node has a unit name, but no reg or ranges property
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/cape-pcie.dtsi	229.22-231.5	/soc/qcom,pcie@1c00000/pcie0_rp: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/cape.dtsi	3186.21-3202.4	/soc/qcom,pcie@1c00000/pcie0_rp/cnss_pci: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/cape-pcie.dtsi	522.22-524.5	/soc/qcom,pcie@1c08000/pcie1_rp: node has a reg or ranges property, but no unit name
