QCOM_LLCC	enabled	CONFIG_QCOM_LLCC=m
QCOM_PDC	enabled	CONFIG_QCOM_PDC=m
QCOM_PDR_HELPERS	enabled	CONFIG_QCOM_PDR_HELPERS=m
QCOM_PIL_INFO	enabled	CONFIG_QCOM_PIL_INFO=m
QCOM_Q6V5_ADSP	disabled	# CONFIG_QCOM_Q6V5_ADSP is not set
QCOM_Q6V5_MSS	disabled	# CONFIG_QCOM_Q6V5_MSS is not set
QCOM_Q6V5_PAS	enabled	CONFIG_QCOM_Q6V5_PAS=m
QCOM_Q6V5_WCSS	disabled	# CONFIG_QCOM_Q6V5_WCSS is not set
QCOM_RPMH	enabled	CONFIG_QCOM_RPMH=m
QCOM_SCM	enabled	CONFIG_QCOM_SCM=m
QCOM_SMD_RPM	disabled	# CONFIG_QCOM_SMD_RPM is not set
QCOM_SMEM	enabled	CONFIG_QCOM_SMEM=m
QCOM_SMP2P	enabled	CONFIG_QCOM_SMP2P=m
QCOM_SMSM	disabled	# CONFIG_QCOM_SMSM is not set
QCOM_SOCINFO	enabled	CONFIG_QCOM_SOCINFO=m
QCOM_SPMI_ADC5	enabled	CONFIG_QCOM_SPMI_ADC5=m
QCOM_SPMI_TEMP_ALARM	enabled	CONFIG_QCOM_SPMI_TEMP_ALARM=m
QCOM_SYSMON	enabled	CONFIG_QCOM_SYSMON=m
QCOM_TSENS	enabled	CONFIG_QCOM_TSENS=m
QCOM_WCNSS_CTRL	disabled	# CONFIG_QCOM_WCNSS_CTRL is not set
QCOM_WCNSS_PIL	disabled	# CONFIG_QCOM_WCNSS_PIL is not set
QRTR	enabled	CONFIG_QRTR=m
QRTR_MHI	enabled	CONFIG_QRTR_MHI=m
QRTR_SMD	enabled	CONFIG_QRTR_SMD=m
RC_CORE	enabled	CONFIG_RC_CORE=y
RC_DECODERS	enabled	CONFIG_RC_DECODERS=y
RC_DEVICES	enabled	CONFIG_RC_DEVICES=y
REGULATOR_QCOM_PM8008	enabled	CONFIG_REGULATOR_QCOM_PM8008=m
RPMSG_QCOM_GLINK_SMEM	enabled	CONFIG_RPMSG_QCOM_GLINK_SMEM=m
RPMSG_QCOM_SMD	enabled	CONFIG_RPMSG_QCOM_SMD=m
RTC_DRV_PM8XXX	enabled	CONFIG_RTC_DRV_PM8XXX=m
RTL8723BS	disabled	# CONFIG_RTL8723BS is not set
SCSI_UFS_QCOM	enabled	CONFIG_SCSI_UFS_QCOM=m
SLIMBUS	enabled	CONFIG_SLIMBUS=m
SLIM_QCOM_NGD_CTRL	enabled	CONFIG_SLIM_QCOM_NGD_CTRL=m
SND_SOC_WCD9335	disabled	# CONFIG_SND_SOC_WCD9335 is not set
SND_USB_AUDIO_QMI	enabled	CONFIG_SND_USB_AUDIO_QMI=m
SPMI_MSM_PMIC_ARB	enabled	CONFIG_SPMI_MSM_PMIC_ARB=m
STM_PROTO_BASIC	enabled	CONFIG_STM_PROTO_BASIC=m
STM_SOURCE_CONSOLE	enabled	CONFIG_STM_SOURCE_CONSOLE=m
STM_SOURCE_FTRACE	enabled	CONFIG_STM_SOURCE_FTRACE=m
TOUCHSCREEN_ATMEL_MXT	enabled	CONFIG_TOUCHSCREEN_ATMEL_MXT=m
USB_DWC3_HAPS	disabled	# CONFIG_USB_DWC3_HAPS is not set
USB_DWC3_OF_SIMPLE	disabled	# CONFIG_USB_DWC3_OF_SIMPLE is not set
USB_DWC3_QCOM	disabled	# CONFIG_USB_DWC3_QCOM is not set
USB_EHSET_TEST_FIXTURE	enabled	CONFIG_USB_EHSET_TEST_FIXTURE=m
USB_LINK_LAYER_TEST	enabled	CONFIG_USB_LINK_LAYER_TEST=m
USB_NET_AX88179_178A	enabled	CONFIG_USB_NET_AX88179_178A=m
USB_NET_AX8817X	enabled	CONFIG_USB_NET_AX8817X=m
VIRT_DRIVERS	enabled	CONFIG_VIRT_DRIVERS=y
VIRT_WIFI	disabled	# CONFIG_VIRT_WIFI is not set
WFX	disabled	# CONFIG_WFX is not set
WILC1000_SDIO	disabled	# CONFIG_WILC1000_SDIO is not set
WILC1000_SPI	disabled	# CONFIG_WILC1000_SPI is not set
ZRAM	enabled	CONFIG_ZRAM=m
ZSMALLOC	enabled	CONFIG_ZSMALLOC=m
