module	loading_stages	disposition	reference_makefiles	target_makefiles	review_rule
lpass_cdc_wsa2_macro_dlkm.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
lpass_cdc_wsa_macro_dlkm.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
lt9611uxc.ko	modules	reference_source_only	drivers/gpu/drm/bridge/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
lvstest.ko	modules	ack_source_candidate	drivers/usb/misc/Makefile	drivers/usb/misc/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
lzo-rle.ko	modules	built_6_18_builtin	crypto/Makefile	crypto/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
lzo.ko	modules	built_6_18_builtin	arch/arm64/boot/Makefile;arch/csky/boot/Makefile;arch/h8300/boot/compressed/Makefile;arch/mips/Makefile;arch/mips/boot/Makefile;arch/parisc/boot/compressed/Makefile;arch/powerpc/boot/Makefile;arch/riscv/boot/Makefile;arch/s390/boot/compressed/Makefile;arch/sh/Makefile;arch/sh/boot/Makefile;arch/sh/boot/compressed/Makefile;arch/x86/boot/compressed/Makefile;crypto/Makefile;fs/btrfs/Makefile;fs/squashfs/Makefile;lib/Makefile;lib/lzo/Makefile;usr/Makefile	arch/arm64/boot/Makefile;arch/csky/boot/Makefile;arch/mips/Makefile;arch/mips/boot/Makefile;arch/parisc/boot/compressed/Makefile;arch/powerpc/boot/Makefile;arch/riscv/Makefile;arch/riscv/boot/Makefile;arch/s390/boot/Makefile;arch/sh/Makefile;arch/sh/boot/Makefile;arch/sh/boot/compressed/Makefile;arch/x86/boot/compressed/Makefile;crypto/Makefile;fs/btrfs/Makefile;fs/squashfs/Makefile;lib/Makefile;lib/lzo/Makefile;usr/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
mac80211.ko	modules	ack_source_candidate	drivers/net/wireless/Makefile;drivers/net/wireless/ath/ath5k/Makefile;drivers/net/wireless/broadcom/brcm80211/brcmsmac/Makefile;drivers/net/wireless/intel/iwlwifi/dvm/Makefile;drivers/net/wireless/intel/iwlwifi/mvm/Makefile;drivers/net/wireless/mediatek/mt76/Makefile;drivers/net/wireless/realtek/rtw88/Makefile;net/Makefile;net/mac80211/Makefile	drivers/net/wireless/ath/ath5k/Makefile;drivers/net/wireless/broadcom/brcm80211/brcmsmac/Makefile;drivers/net/wireless/intel/iwlwifi/dvm/Makefile;drivers/net/wireless/intel/iwlwifi/mld/Makefile;drivers/net/wireless/intel/iwlwifi/mvm/Makefile;drivers/net/wireless/mediatek/mt76/Makefile;drivers/net/wireless/realtek/rtw88/Makefile;drivers/net/wireless/realtek/rtw89/Makefile;drivers/net/wireless/virtual/Makefile;net/Makefile;net/mac80211/Makefile;net/mac80211/tests/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
machine_dlkm.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
mbhc_dlkm.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
mdt_loader.ko	modules	ack_source_candidate	drivers/soc/qcom/Makefile	drivers/soc/qcom/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
mem-hooks.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
mem_buf.ko	modules	reference_source_only	drivers/soc/qcom/Makefile;drivers/soc/qcom/mem_buf/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
mem_buf_dev.ko	modules	reference_source_only	drivers/soc/qcom/mem_buf/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
memlat.ko	modules	reference_source_only	drivers/firmware/arm_scmi/Makefile;drivers/soc/qcom/dcvs/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
memory_dump_v2.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
mhi.ko	modules	ack_source_candidate	drivers/bus/Makefile;drivers/bus/mhi/controllers/Makefile;drivers/bus/mhi/devices/Makefile;drivers/bus/mhi/host/Makefile;drivers/net/wireless/ath/ath11k/Makefile;drivers/platform/msm/mhi_dev/Makefile;net/qrtr/Makefile	drivers/accel/qaic/Makefile;drivers/bus/Makefile;drivers/bus/mhi/ep/Makefile;drivers/bus/mhi/host/Makefile;drivers/net/Makefile;drivers/net/wireless/ath/ath11k/Makefile;drivers/net/wireless/ath/ath12k/Makefile;drivers/net/wwan/Makefile;net/qrtr/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
mhi_cntrl_qcom.ko	modules	reference_source_only	drivers/bus/mhi/controllers/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
mhi_dev_drv.ko	modules	reference_source_only	drivers/platform/msm/mhi_dev/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
mhi_dev_dtr.ko	modules	reference_source_only	drivers/bus/mhi/devices/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
mhi_dev_net.ko	modules	reference_source_only	drivers/platform/msm/mhi_dev/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
mhi_dev_netdev.ko	modules	reference_source_only	drivers/bus/mhi/devices/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
mhi_dev_uci.ko	modules	reference_source_only	drivers/bus/mhi/devices/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
mi_thermal_interface.ko	modules	reference_source_only	drivers/thermal/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
microdump_collector.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
minidump.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
msm-cvp.ko	modules	reference_source_only	drivers/media/platform/msm/cvp/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
msm-eva.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
msm-geni-se.ko	modules	reference_source_only	drivers/platform/msm/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
msm-mmrm.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
msm_dma_iommu_mapping.ko	modules	reference_source_only	drivers/iommu/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
msm_drm.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
msm_ext_display.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
msm_geni_serial.ko	modules	reference_source_only	drivers/tty/serial/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
msm_kgsl.ko	modules	reference_source_only	drivers/gpu/msm/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
msm_lmh_dcvs.ko	modules	reference_source_only	drivers/thermal/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
msm_memshare.ko	modules	reference_source_only	drivers/soc/qcom/memshare/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
msm_performance.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
msm_qmp.ko	modules	reference_source_only	drivers/mailbox/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
msm_rng.ko	modules	reference_source_only	drivers/char/hw_random/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
msm_sharedmem.ko	modules	reference_source_only	drivers/uio/Makefile;drivers/uio/msm_sharedmem/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
msm_show_epoch.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
msm_show_resume_irq.ko	modules	reference_source_only	drivers/irqchip/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
msm_sysstats.ko	modules	reference_source_only	kernel/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
msm_video.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
mtd.ko	modules	ack_source_candidate	arch/mips/cobalt/Makefile;drivers/Makefile;drivers/mtd/Makefile;drivers/mtd/devices/Makefile;drivers/mtd/lpddr/Makefile;drivers/mtd/tests/Makefile;drivers/net/ethernet/sfc/Makefile;drivers/net/ethernet/sfc/falcon/Makefile	arch/mips/cobalt/Makefile;drivers/Makefile;drivers/mtd/Makefile;drivers/mtd/devices/Makefile;drivers/mtd/lpddr/Makefile;drivers/mtd/tests/Makefile;drivers/net/ethernet/sfc/Makefile;drivers/net/ethernet/sfc/falcon/Makefile;drivers/net/ethernet/sfc/siena/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
mtd_blkdevs.ko	modules	ack_source_candidate	drivers/mtd/Makefile	drivers/mtd/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
mtdblock.ko	modules	ack_source_candidate	drivers/mtd/Makefile	drivers/mtd/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
mtdoops.ko	modules	ack_source_candidate	drivers/mtd/Makefile	drivers/mtd/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
nb7vpq904m.ko	modules	ack_source_candidate	drivers/usb/redriver/Makefile	drivers/usb/typec/mux/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
nfc_i2c.ko	modules	reference_source_only	drivers/nfc/qti/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
nt36xxx-i2c.ko	modules	reference_source_only	drivers/input/touchscreen/nt36xxx/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
nt36xxx-spi.ko	modules	reference_source_only	drivers/input/touchscreen/nt36xxx/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
nvmem_qcom-spmi-sdam.ko	modules	ack_source_candidate	drivers/nvmem/Makefile	drivers/nvmem/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
nvmem_qfprom.ko	modules	ack_source_candidate	drivers/nvmem/Makefile	drivers/nvmem/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
ofpart.ko	modules	ack_source_candidate	drivers/mtd/parsers/Makefile	drivers/mtd/parsers/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
panel_event_notifier.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
pci-edma.ko	modules	reference_source_only	drivers/dma/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
pci-msm-drv.ko	modules	reference_source_only	drivers/pci/controller/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
pdr_interface.ko	modules	ack_source_candidate	drivers/soc/qcom/Makefile	drivers/soc/qcom/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
phy-generic.ko	modules	ack_source_candidate	drivers/usb/phy/Makefile	drivers/usb/phy/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
phy-msm-snps-eusb2.ko	modules	reference_source_only	drivers/usb/phy/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
phy-msm-snps-hs.ko	modules	reference_source_only	drivers/usb/phy/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
phy-msm-ssusb-qmp.ko	modules	reference_source_only	drivers/usb/phy/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
phy-qcom-emu.ko	modules	reference_source_only	drivers/usb/phy/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
phy-qcom-ufs-qmp-14nm.ko	modules	reference_source_only	drivers/phy/qualcomm/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
phy-qcom-ufs-qmp-v3.ko	modules	reference_source_only	drivers/phy/qualcomm/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
phy-qcom-ufs-qmp-v4-anarok.ko	modules	reference_source_only	drivers/phy/qualcomm/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
phy-qcom-ufs-qmp-v4-cape.ko	modules	reference_source_only	drivers/phy/qualcomm/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
phy-qcom-ufs-qmp-v4-diwali.ko	modules	reference_source_only	drivers/phy/qualcomm/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
phy-qcom-ufs-qmp-v4-lahaina.ko	modules	reference_source_only	drivers/phy/qualcomm/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
phy-qcom-ufs-qmp-v4-parrot.ko	modules	reference_source_only	drivers/phy/qualcomm/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
phy-qcom-ufs-qmp-v4-waipio.ko	modules	reference_source_only	drivers/phy/qualcomm/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
phy-qcom-ufs.ko	modules	reference_source_only	drivers/phy/qualcomm/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
pinctrl-cape.ko	modules	reference_source_only	drivers/pinctrl/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
pinctrl-diwali.ko	modules	reference_source_only	drivers/pinctrl/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
pinctrl-msm.ko	modules	ack_source_candidate	drivers/pinctrl/qcom/Makefile	drivers/pinctrl/qcom/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
pinctrl-spmi-gpio.ko	modules	ack_source_candidate	drivers/pinctrl/qcom/Makefile	drivers/pinctrl/qcom/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
pinctrl-spmi-mpp.ko	modules	ack_source_candidate	drivers/pinctrl/qcom/Makefile	drivers/pinctrl/qcom/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
pinctrl-waipio.ko	modules	reference_source_only	drivers/pinctrl/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
pinctrl_lpi_dlkm.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
plh_scmi.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
plh_vendor.ko	modules	reference_source_only	drivers/firmware/arm_scmi/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
pm8941-pwrkey.ko	modules	ack_source_candidate	drivers/input/misc/Makefile	drivers/input/misc/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
pmic-pon-log.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
pmic_glink.ko	modules	ack_source_candidate	drivers/soc/qcom/Makefile	drivers/soc/qcom/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
pmu_scmi.ko	modules	reference_source_only	drivers/soc/qcom/dcvs/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
pmu_vendor.ko	modules	reference_source_only	drivers/firmware/arm_scmi/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
policy_engine.ko	modules	reference_source_only	drivers/thermal/qcom/Makefile;drivers/usb/pd/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
proxy-consumer.ko	modules	reference_source_only	drivers/regulator/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
pwm-qti-lpg.ko	modules	reference_source_only	drivers/pwm/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
q6_dlkm.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
q6_notifier_dlkm.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
q6_pdr_dlkm.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qbt_handler.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qca_cld3_qca6490.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qca_cld3_qca6750.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qce50.ko	modules	reference_source_only	drivers/crypto/msm/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcedev-mod.ko	modules	reference_source_only	drivers/crypto/msm/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom-cpufreq-hw-debug.ko	modules	reference_source_only	drivers/cpufreq/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom-cpufreq-hw.ko	modules	ack_source_candidate	drivers/cpufreq/Makefile	drivers/cpufreq/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom-dcvs.ko	modules	reference_source_only	drivers/soc/qcom/dcvs/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom-dload-mode.ko	modules	reference_source_only	drivers/power/reset/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom-hv-haptics.ko	modules	reference_source_only	drivers/input/misc/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom-i2c-pmic.ko	modules	reference_source_only	drivers/mfd/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom-pdc.ko	modules	ack_source_candidate	drivers/irqchip/Makefile	drivers/irqchip/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom-pmu-lib.ko	modules	reference_source_only	drivers/soc/qcom/dcvs/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom-pon.ko	modules	ack_source_candidate	drivers/power/reset/Makefile	drivers/power/reset/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom-reboot-reason.ko	modules	reference_source_only	drivers/power/reset/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom-scm.ko	modules	built_6_18_builtin	drivers/firmware/Makefile	drivers/firmware/qcom/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom-spmi-adc5.ko	modules	built_6_18_builtin	drivers/iio/adc/Makefile	drivers/iio/adc/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom-spmi-pmic.ko	modules	ack_source_candidate	drivers/mfd/Makefile	drivers/mfd/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom-spmi-temp-alarm.ko	modules	ack_source_candidate	drivers/thermal/qcom/Makefile	drivers/thermal/qcom/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom-vadc-common.ko	modules	built_6_18_builtin	drivers/iio/adc/Makefile	drivers/iio/adc/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom_aoss.ko	modules	ack_source_candidate	drivers/soc/qcom/Makefile	drivers/soc/qcom/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom_cpu_vendor_hooks.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom_dma_heaps.ko	modules	reference_source_only	drivers/dma-buf/heaps/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom_edac.ko	modules	ack_source_candidate	drivers/edac/Makefile	drivers/edac/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom_esoc.ko	modules	reference_source_only	drivers/remoteproc/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom_gic_intr_routing.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom_glink.ko	modules	ack_source_candidate	drivers/rpmsg/Makefile	drivers/rpmsg/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom_glink_smem.ko	modules	ack_source_candidate	drivers/rpmsg/Makefile	drivers/rpmsg/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom_hwspinlock.ko	modules	ack_source_candidate	drivers/hwspinlock/Makefile	drivers/hwspinlock/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom_iommu_util.ko	modules	reference_source_only	drivers/iommu/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom_ipc_lite.ko	modules	reference_source_only	drivers/media/platform/msm/synx/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom_ipcc.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom_llcc_pmu.ko	modules	reference_source_only	drivers/perf/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom_logbuf_vendor_hooks.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom_lpm.ko	modules	reference_source_only	drivers/cpuidle/governors/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom_pil_info.ko	modules	ack_source_candidate	drivers/remoteproc/Makefile	drivers/remoteproc/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom_pm8008-regulator.ko	modules	reference_source_only	drivers/regulator/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom_q6v5.ko	modules	ack_source_candidate	drivers/remoteproc/Makefile	drivers/remoteproc/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom_q6v5_pas.ko	modules	ack_source_candidate	drivers/remoteproc/Makefile	drivers/remoteproc/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom_ramdump.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom_rimps.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom_rpmh.ko	modules	built_6_18_builtin	drivers/soc/qcom/Makefile	drivers/soc/qcom/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom_smd.ko	modules	ack_source_candidate	drivers/regulator/Makefile;drivers/rpmsg/Makefile	drivers/regulator/Makefile;drivers/rpmsg/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom_soc_wdt.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom_sync_file.ko	modules	reference_source_only	drivers/soc/qcom/sync_fence/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom_sysmon.ko	modules	ack_source_candidate	drivers/remoteproc/Makefile	drivers/remoteproc/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom_tsens.ko	modules	ack_source_candidate	drivers/thermal/qcom/Makefile	drivers/thermal/qcom/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
qcom_wdt_core.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qdss_bridge.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qfprom-sys.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qmi_helpers.ko	modules	ack_source_candidate	drivers/soc/qcom/Makefile	drivers/soc/qcom/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
qnoc-diwali.ko	modules	reference_source_only	drivers/interconnect/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qnoc-parrot.ko	modules	reference_source_only	drivers/interconnect/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qnoc-qos.ko	modules	reference_source_only	drivers/interconnect/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qnoc-waipio.ko	modules	reference_source_only	drivers/interconnect/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qpnp-amoled-regulator.ko	modules	reference_source_only	drivers/regulator/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qpnp-pbs.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qrtr-gunyah.ko	modules	reference_source_only	net/qrtr/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qrtr-mhi.ko	modules	ack_source_candidate	net/qrtr/Makefile	net/qrtr/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
qrtr-smd.ko	modules	ack_source_candidate	net/qrtr/Makefile	net/qrtr/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
qrtr.ko	modules	ack_source_candidate	net/Makefile;net/qrtr/Makefile	net/Makefile;net/qrtr/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
qsee_ipc_irq_bridge.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qseecom-mod.ko	modules	reference_source_only	drivers/misc/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qti-adc-tm.ko	modules	reference_source_only	drivers/thermal/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qti-fixed-regulator.ko	modules	reference_source_only	drivers/regulator/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qti_amoled_ecm.ko	modules	reference_source_only	drivers/hwmon/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qti_battery_charger_main.ko	modules	reference_source_only	drivers/power/supply/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qti_battery_debug.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qti_cpufreq_cdev.ko	modules	reference_source_only	drivers/thermal/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qti_devfreq_cdev.ko	modules	reference_source_only	drivers/thermal/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qti_qmi_cdev.ko	modules	reference_source_only	drivers/thermal/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qti_qmi_sensor_v2.ko	modules	reference_source_only	drivers/thermal/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
qti_userspace_cdev.ko	modules	reference_source_only	drivers/thermal/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
radio-i2c-rtc6226-qca.ko	modules	reference_source_only	drivers/media/radio/rtc6226/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
rdbg.ko	modules	reference_source_only	drivers/char/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
reboot-mode.ko	modules	ack_source_candidate	drivers/power/reset/Makefile	drivers/power/reset/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
redriver.ko	modules	reference_source_only	drivers/usb/Makefile;drivers/usb/redriver/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
regmap-spmi.ko	modules	built_6_18_builtin	drivers/base/regmap/Makefile	drivers/base/regmap/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
repeater-i2c-eusb2.ko	modules	reference_source_only	drivers/usb/repeater/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
repeater.ko	modules	reference_source_only	drivers/usb/Makefile;drivers/usb/repeater/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
rmnet_aps.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
rmnet_core.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
