MSM_GPI_DMA	enabled	CONFIG_MSM_GPI_DMA=m
MSM_GPI_DMA_DEBUG	disabled	# CONFIG_MSM_GPI_DMA_DEBUG is not set
MSM_GPUCC_WAIPIO	enabled	CONFIG_MSM_GPUCC_WAIPIO=m
MSM_HSUSB_PHY	enabled	CONFIG_MSM_HSUSB_PHY=m
MSM_MHI_DEV	enabled	CONFIG_MSM_MHI_DEV=m
MSM_MHI_NET_DEV	enabled	CONFIG_MSM_MHI_NET_DEV=m
MSM_PERFORMANCE	enabled	CONFIG_MSM_PERFORMANCE=m
MSM_QBT_HANDLER	enabled	CONFIG_MSM_QBT_HANDLER=m
MSM_QMP	enabled	CONFIG_MSM_QMP=m
MSM_RDBG	enabled	CONFIG_MSM_RDBG=m
MSM_SYSSTATS	enabled	CONFIG_MSM_SYSSTATS=m
MSM_TMECOM_QMP	enabled	CONFIG_MSM_TMECOM_QMP=m
MSM_VIDEOCC_WAIPIO	enabled	CONFIG_MSM_VIDEOCC_WAIPIO=m
NEURON_CH_GUNYAH	disabled	# CONFIG_NEURON_CH_GUNYAH is not set
NFC_QTI_I2C	enabled	CONFIG_NFC_QTI_I2C=m
NOVATEK_TRUSTED_TOUCH	enabled	CONFIG_NOVATEK_TRUSTED_TOUCH=y
PCI_MSM	enabled	CONFIG_PCI_MSM=m
PDR_INDICATION_NOTIF_TIMEOUT	enabled	CONFIG_PDR_INDICATION_NOTIF_TIMEOUT=9000
PHY_QCOM_UFS	enabled	CONFIG_PHY_QCOM_UFS=m
PHY_QCOM_UFS_V4	enabled	CONFIG_PHY_QCOM_UFS_V4=m
PINCTRL_CAPE	enabled	CONFIG_PINCTRL_CAPE=m
PINCTRL_DIWALI	enabled	CONFIG_PINCTRL_DIWALI=m
PINCTRL_WAIPIO	enabled	CONFIG_PINCTRL_WAIPIO=m
POWER_RESET_QCOM_DOWNLOAD_MODE	enabled	CONFIG_POWER_RESET_QCOM_DOWNLOAD_MODE=m
