funnel_ddr_dl0_out_tpda_dl_center_6	local-closure
funnel_ddr_dl0_out_tpda_dl_center_7	local-closure
funnel_ddr_dl0_out_tpda_dl_center_8	local-closure
funnel_ddr_dl1_in_gladiator	local-closure
funnel_ddr_dl1_out_funnel_ddr_dl0	local-closure
funnel_dl_center_in_funnel_ddr_dl0	local-closure
funnel_dl_center_in_funnel_turing	local-closure
funnel_dl_center_in_tpda_dl_center	local-closure
funnel_dl_center_out_funnel_in1	local-closure
funnel_dl_north_in_funnel_spss	local-closure
funnel_dl_north_in_funnel_tmess	local-closure
funnel_dl_north_in_tpda_dl_north	local-closure
funnel_dl_north_out_funnel_in1	local-closure
funnel_dl_south_in_tpda_dl_south	local-closure
funnel_dl_south_out_funnel_in1	local-closure
funnel_dl_west_in_funnel_multimedia	local-closure
funnel_dl_west_in_tpdm_dlwt0	local-closure
funnel_dl_west_in_tpdm_dlwt1	local-closure
funnel_dl_west_out_tpda_dl_center_10	local-closure
funnel_dl_west_out_tpda_dl_center_12	local-closure
funnel_dl_west_out_tpda_dl_center_13	local-closure
funnel_dl_west_out_tpda_dl_center_14	local-closure
funnel_dl_west_out_tpda_dl_center_9	local-closure
funnel_ete_in_ete0	local-closure
funnel_ete_in_ete1	local-closure
funnel_ete_in_ete2	local-closure
funnel_ete_in_ete3	local-closure
funnel_ete_in_ete4	local-closure
funnel_ete_in_ete5	local-closure
funnel_ete_in_ete6	local-closure
funnel_ete_in_ete7	local-closure
funnel_ete_out_funnel_apss	local-closure
funnel_gfx_dl_in_tpdm_gpu	local-closure
funnel_gfx_dl_out_tpda_dl_center_17	local-closure
funnel_in0_in_snoc	local-closure
funnel_in0_in_stm	local-closure
funnel_in0_in_tpda_qdss	local-closure
funnel_in0_out_funnel_qdss	local-closure
funnel_in1_in_funnel_apss	local-closure
funnel_in1_in_funnel_dl_center	local-closure
funnel_in1_in_funnel_dl_north	local-closure
funnel_in1_in_funnel_dl_south	local-closure
funnel_in1_in_funnel_modem	local-closure
funnel_in1_out_funnel_qdss	local-closure
funnel_lpass_in_tpdm_lpass	local-closure
funnel_lpass_lpi_in_audio_etm0	local-closure
funnel_lpass_lpi_in_lpass_stm	local-closure
funnel_lpass_lpi_in_tpdm_lpass_lpi	local-closure
funnel_lpass_lpi_out_funnel_aoss	local-closure
funnel_lpass_out_tpda_dl_center_4	local-closure
funnel_modem_in_funnel_modem_q6	local-closure
funnel_modem_in_modem2_etm0	local-closure
funnel_modem_in_tpda_modem	local-closure
funnel_modem_out_funnel_in1	local-closure
funnel_modem_q6_dup_in_modem_etm0	local-closure
funnel_modem_q6_dup_out_funnel_modem_q6	local-closure
funnel_modem_q6_in_funnel_modem_q6_dup	local-closure
funnel_modem_q6_in_modem_diag	local-closure
funnel_modem_q6_out_funnel_modem	local-closure
funnel_multimedia_in_funnel_video	local-closure
funnel_multimedia_in_tpdm_dlmm	local-closure
funnel_multimedia_in_tpdm_mdss	local-closure
funnel_multimedia_out_funnel_dl_west	local-closure
funnel_qdss_in_funnel_in0	local-closure
funnel_qdss_in_funnel_in1	local-closure
funnel_qdss_out_funnel_aoss	local-closure
funnel_spss_in_tpda_spss	local-closure
funnel_spss_out_funnel_dl_north	local-closure
funnel_ssc_in_sensor_stm	local-closure
funnel_ssc_in_ssc_etm0	local-closure
funnel_ssc_out_funnel_aoss	local-closure
funnel_tmess_in_tpda_tmess	local-closure
funnel_tmess_out_funnel_dl_north	local-closure
funnel_turing_dup_in_turing_etm0	local-closure
funnel_turing_dup_out_funnel_turing	local-closure
funnel_turing_in_funnel_turing_dup	local-closure
funnel_turing_in_tpdm_turing	local-closure
funnel_turing_in_tpdm_turing_llm	local-closure
funnel_turing_out_funnel_dl_center	local-closure
funnel_turing_out_tpda_dl_center_15	local-closure
funnel_turing_out_tpda_dl_center_16	local-closure
funnel_video_in_tpdm_video	local-closure
funnel_video_out_funnel_multimedia	local-closure
gcc_apcs_gdsc_vote_ctrl	local-closure
gcc_pcie_0_gdsc	local-closure
gcc_pcie_1_gdsc	local-closure
gcc_ufs_phy_gdsc	local-closure
gcc_usb30_prim_gdsc	local-closure
gem_noc	local-closure
gic_its	local-closure
gladiator_out_funnel_ddr_dl1	local-closure
gpi_dma0	local-closure
gpi_dma1	local-closure
gpi_dma2	local-closure
gpu0_tj_cfg	local-closure
gpu1_tj_cfg	local-closure
gpu_cc_cx_gdsc	local-closure
gpu_cc_cx_hw_ctrl	local-closure
gpu_cc_gx_acd_iroot_reset	local-closure
gpu_cc_gx_acd_reset	local-closure
gpu_cc_gx_domain_addr	local-closure
gpu_cc_gx_gdsc	local-closure
gpu_cc_gx_sw_reset	local-closure
gpu_microcode_mem	local-closure
gpu_speed_bin	local-closure
hap_cl_brake	local-closure
intc	local-closure
ipa_gsi_mem	local-closure
ipcc_mproc	local-closure
isense_trim_trip	local-closure
