audio	1
camera	2
diagnostics-and-vendor-hooks	28
graphics-and-display	5
memory-and-interconnect	21
modem-dsp-and-remoteproc	19
other	100
power-and-thermal	28
qualcomm-platform	86
storage	4
wireless-and-peripherals	11
